NomePrestadora,CodINEP,siglaUf,NomeMunicipio,DescSituacao,TipoObrigacao,VelAcessoInstalada,DescTecnologia,NomeEscola,DescTipoEscola,DataAtivacao
TELEFÔNICA,25064789[*],PB,Areia,Instalada,Rural – Edital 4G,3 Mbps,Rede Celular,ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL MUL JOAO CESAR,Municipal,21/10/2014
TELEFÔNICA,25064800[*],PB,Bananeiras,Instalada,Rural – Edital 4G,4.62 Mbps,Rede Celular,COLEGIO AGRICOLA VIDAL DE NEGREIROS,Federal,18/09/2018
TELEFÔNICA,25065009[*],PB,Bananeiras,Instalada,Rural – Edital 4G,1 Mbps,Rede Celular,EMEF DO OLHO DAGUA,Municipal,15/10/2014
TELEFÔNICA,25065149[*],PB,Bananeiras,Instalada,Rural – Edital 4G,1 Mbps,SATÉLITE,EMEF JOAO PAULO II,Municipal,25/09/2015
TELEFÔNICA,25065157[*],PB,Bananeiras,Instalada,Rural – Edital 4G,1 Mbps,SATÉLITE,EMEF JOSE ROCHA CIRNE,Municipal,25/09/2015
TELEFÔNICA,25065173[*],PB,Bananeiras,Instalada,Rural – Edital 4G,1 Mbps,Rede Celular,EMEF MIGUEL FILGUEIRA FILHO,Municipal,15/10/2014
TELEFÔNICA,25065190[*],PB,Bananeiras,Instalada,Rural – Edital 4G,1 Mbps,Rede Celular,EMEF APRIGIO PATRICIO RAMALHO,Municipal,16/10/2014
TELEFÔNICA,25065211[*],PB,Bananeiras,Instalada,Rural – Edital 4G,1 Mbps,Rede Celular,EMEF JOSE HENRIQUE PEREIRA,Municipal,15/10/2014
TELEFÔNICA,25065238[*],PB,Bananeiras,Instalada,Rural – Edital 4G,3.73 Mbps,Rede Celular,EMEF JOSE ROCHA SOBRINHO,Municipal,18/10/2018
TELEFÔNICA,25065262[*],PB,Bananeiras,Instalada,Rural – Edital 4G,1 Mbps,Rede Celular,EMEF FRANCISCO LOPES DE AZEVEDO,Municipal,16/10/2014
TELEFÔNICA,25065297[*],PB,Bananeiras,Instalada,Rural – Edital 4G,9.15 Mbps,Rede Celular,EMEF PROF SOLANGE R DE FONTES,Municipal,18/10/2018
TELEFÔNICA,25065300[*],PB,Bananeiras,Instalada,Rural – Edital 4G,11.75 Mbps,Rede Celular,EMEF VER NICOLAU LUCENA MOURA,Municipal,18/10/2018
TELEFÔNICA,25065319[*],PB,Bananeiras,Instalada,Rural – Edital 4G,1 Mbps,Rede Celular,EMEF SANTA CECILIA,Municipal,16/10/2014
TELEFÔNICA,25065327[*],PB,Bananeiras,Instalada,Rural – Edital 4G,1 Mbps,Rede Celular,EMEF DO JARACATIA,Municipal,15/10/2014
TELEFÔNICA,25065335[*],PB,Bananeiras,Instalada,Rural – Edital 4G,1 Mbps,Rede Celular,EMEF JOAO FLORENTINO DA ROCHA,Municipal,15/10/2014
TELEFÔNICA,25065343[*],PB,Bananeiras,Instalada,Rural – Edital 4G,9.81 Mbps,Rede Celular,EMEF ARLINDO RAMALHO,Municipal,18/10/2018
TELEFÔNICA,25065378[*],PB,Bananeiras,Instalada,Rural – Edital 4G,1 Mbps,SATÉLITE,EMEF DE UMARI,Municipal,25/09/2015
TELEFÔNICA,25065440[*],PB,Bananeiras,Instalada,Rural – Edital 4G,1 Mbps,Rede Celular,EMEF MAJOR AUGUSTO BEZERRA,Municipal,15/10/2014
TELEFÔNICA,25065459[*],PB,Bananeiras,Instalada,Rural – Edital 4G,1 Mbps,Rede Celular,EMEF LINDOLFO GRILO,Municipal,15/10/2014
TELEFÔNICA,25065505[*],PB,Bananeiras,Instalada,Rural – Edital 4G,1 Mbps,SATÉLITE,EMEF DR DIONISIO MAIA,Municipal,25/09/2015
TELEFÔNICA,25065580[*],PB,Borborema,Instalada,Rural – Edital 4G,1 Mbps,SATÉLITE,EMEF EDITH RODRIGUES LEITE,Municipal,02/10/2015
TELEFÔNICA,25065602[*],PB,Borborema,Instalada,Rural – Edital 4G,1 Mbps,SATÉLITE,ESC MUL RAFAEL DA COSTA MARANHAO,Municipal,02/10/2015
TELEFÔNICA,25065793[*],PB,Pilões,Instalada,Rural – Edital 4G,1 Mbps,SATÉLITE,ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL ADELINA DE ALMEIDA BARRETO,Municipal,16/09/2015
TELEFÔNICA,25065815[*],PB,Pilões,Instalada,Rural – Edital 4G,1 Mbps,SATÉLITE,ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL CARLOS HERMOGENES LIRA,Municipal,16/09/2015
TELEFÔNICA,25065920[*],PB,Pilões,Instalada,Rural – Edital 4G,1 Mbps,SATÉLITE,ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL ALCIDES LOURENCO,Municipal,16/09/2015
TELEFÔNICA,25065947[*],PB,Pilões,Instalada,Rural – Edital 4G,1 Mbps,SATÉLITE,EMEF ROBERTO DE MENEZES LINS,Municipal,16/09/2015
TELEFÔNICA,25066099[*],PB,Serraria,Instalada,Rural – Edital 4G,1 Mbps,SATÉLITE,ESC MUL DE ALAGOINHA,Municipal,01/09/2015
TELEFÔNICA,25066161[*],PB,Serraria,Instalada,Rural – Edital 4G,1 Mbps,SATÉLITE,EMEIF MARIA ARLETE,Municipal,02/09/2015
TELEFÔNICA,25066170[*],PB,Serraria,Instalada,Rural – Edital 4G,1 Mbps,SATÉLITE,EMEIF MARIA JOSE FERREIRA DA SILVA,Municipal,03/09/2015
TELEFÔNICA,25066188[*],PB,Serraria,Instalada,Rural – Edital 4G,1 Mbps,SATÉLITE,EMEIF NOEMIA CARVALHO,Municipal,03/09/2015
TELEFÔNICA,25066226[*],PB,Serraria,Instalada,Rural – Edital 4G,1 Mbps,Rede Celular,EMEIF SANTO ANTONIO,Municipal,26/01/2015
TELEFÔNICA,25066234[*],PB,Serraria,Instalada,Rural – Edital 4G,1 Mbps,SATÉLITE,EMEIF DE LABIRINTO,Municipal,02/09/2015
TELEFÔNICA,25066269[*],PB,Serraria,Instalada,Rural – Edital 4G,1 Mbps,SATÉLITE,EMEIF ANTONIO GENUINO PEREIRA,Municipal,02/09/2015
TELEFÔNICA,25066277[*],PB,Arara,Instalada,Rural – Edital 4G,1 Mbps,SATÉLITE,EMEIF CONEGO TEODOMIRO QUEIROZ,Municipal,02/12/2015
TELEFÔNICA,25066471[*],PB,Alagoinha,Instalada,Rural – Edital 4G,4.94 Mbps,Rede Celular,ESC MUL LIA BELTRAO,Municipal,23/10/2018
TELEFÔNICA,25066498[*],PB,Alagoinha,Instalada,Rural – Edital 4G,1 Mbps,Rede Celular,ESC MUL PROFESSOR NEU,Municipal,26/05/2015
TELEFÔNICA,25066536[*],PB,Alagoinha,Instalada,Rural – Edital 4G,1 Mbps,SATÉLITE,ESC MUL JOAO EVARISTO GONDIM,Municipal,01/09/2015
TELEFÔNICA,25066706[*],PB,Araçagi,Instalada,Rural – Edital 4G,1 Mbps,SATÉLITE,EMEF BOM JESUS,Municipal,20/11/2014
TELEFÔNICA,25066730[*],PB,Araçagi,Instalada,Rural – Edital 4G,1 Mbps,SATÉLITE,ESC MUN ENS FUND NOSSA SENHORA DA CONCEICAO,Municipal,08/02/2017
TELEFÔNICA,25066773[*],PB,Araçagi,Instalada,Rural – Edital 4G,1 Mbps,Rede Celular,ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL SANTA MARIA,Municipal,13/10/2014
TELEFÔNICA,25066790[*],PB,Araçagi,Instalada,Rural – Edital 4G,1 Mbps,SATÉLITE,EMEF MARIA DAS DORES BELISIO DA SILVA,Municipal,07/02/2017
TELEFÔNICA,25066803[*],PB,Araçagi,Instalada,Rural – Edital 4G,1 Mbps,Rede Celular,EMEF DR ORLANDO JORGE DE SOUZA,Municipal,15/08/2014
TELEFÔNICA,25066811[*],PB,Araçagi,Instalada,Rural – Edital 4G,1 Mbps,SATÉLITE,ESC MUN ENS FUND JOAO DUTRA DE ARAUJO,Municipal,22/11/2014
TELEFÔNICA,25066820[*],PB,Araçagi,Instalada,Rural – Edital 4G,1 Mbps,SATÉLITE,EMEF JOAO FERREIRA DA SILVA,Municipal,22/11/2014
TELEFÔNICA,25066846[*],PB,Araçagi,Instalada,Rural – Edital 4G,1 Mbps,Rede Celular,ESC MUN ENS FUND JOAQUIM BENTO DE OLIVEIRA,Municipal,13/10/2014
TELEFÔNICA,25066854[*],PB,Araçagi,Instalada,Rural – Edital 4G,1 Mbps,Rede Celular,EMEF JOSE AMERICO DE ALMEIDA,Municipal,13/10/2014
TELEFÔNICA,25066889[*],PB,Araçagi,Instalada,Rural – Edital 4G,2.2 Mbps,SATÉLITE,EMEF JULIO JOSE DA SILVA,Municipal,21/11/2014
TELEFÔNICA,25066897[*],PB,Araçagi,Instalada,Rural – Edital 4G,1 Mbps,SATÉLITE,EMEF LUIZ BARBOSA,Municipal,22/11/2014
TELEFÔNICA,25066927[*],PB,Araçagi,Instalada,Rural – Edital 4G,1 Mbps,SATÉLITE,EMEF SANTA TERESINHA,Municipal,08/02/2017
TELEFÔNICA,25066935[*],PB,Araçagi,Instalada,Rural – Edital 4G,1 Mbps,SATÉLITE,ESC MUN ENS FUND SANTA LUCIA,Municipal,21/11/2014
TELEFÔNICA,25066960[*],PB,Araçagi,Instalada,Rural – Edital 4G,1 Mbps,Rede Celular,ESC MUL ENS FUND JOSE ALVES DE SOUZA,Municipal,31/08/2016
TELEFÔNICA,25066986[*],PB,Araçagi,Instalada,Rural – Edital 4G,4 Mbps,Rede Celular,EMEF NOSSA SENHORA DA LUZ,Municipal,30/08/2016
TELEFÔNICA,25066994[*],PB,Araçagi,Instalada,Rural – Edital 4G,1 Mbps,SATÉLITE,E M E F DOUTOR FERNANDO CUNHA LIMA,Municipal,23/11/2014
TELEFÔNICA,25067001[*],PB,Araçagi,Instalada,Rural – Edital 4G,1 Mbps,Rede Celular,EMEF JOAO MAXIMINO,Municipal,21/08/2014
TELEFÔNICA,25067010[*],PB,Araçagi,Instalada,Rural – Edital 4G,1 Mbps,SATÉLITE,EMEF JOSE ROSAS DE VASCONCELOS,Municipal,20/11/2014
TELEFÔNICA,25067028[*],PB,Araçagi,Instalada,Rural – Edital 4G,1 Mbps,Rede Celular,EMEF LUCILA AVILA PESSOA,Municipal,13/10/2014
TELEFÔNICA,25067052[*],PB,Araçagi,Instalada,Rural – Edital 4G,5 Mbps,Rede Celular,EMEF OLIVINA CARNEIRO DA CUNHA,Municipal,24/10/2016
TELEFÔNICA,25067060[*],PB,Araçagi,Instalada,Rural – Edital 4G,1 Mbps,SATÉLITE,EMEF SAO TARCISIO,Municipal,07/02/2017
TELEFÔNICA,25067273[*],PB,Belém,Instalada,Rural – Edital 4G,1 Mbps,SATÉLITE,EMEIEF ALEXANDRE DA COSTA LIRA,Municipal,31/08/2015
TELEFÔNICA,25067311[*],PB,Belém,Instalada,Rural – Edital 4G,5.66 Mbps,Rede Celular,EMEIEF LUIZ ALEXANDRINO DA SILVA,Municipal,25/10/2018
TELEFÔNICA,25067338[*],PB,Belém,Instalada,Rural – Edital 4G,1 Mbps,SATÉLITE,EMEIEF DE SERRARIA,Municipal,31/08/2015
TELEFÔNICA,25067346[*],PB,Belém,Instalada,Rural – Edital 4G,1 Mbps,SATÉLITE,EMEIEF DE CAICARINHA,Municipal,01/09/2015
TELEFÔNICA,25067354[*],PB,Belém,Instalada,Rural – Edital 4G,1 Mbps,SATÉLITE,EMEIEF DE MUFUMBO,Municipal,01/09/2015
TELEFÔNICA,25067362[*],PB,Belém,Instalada,Rural – Edital 4G,1 Mbps,SATÉLITE,EMEIEF VICENTE MAURICIO DE PONTES,Municipal,01/09/2015
TELEFÔNICA,25067389[*],PB,Belém,Instalada,Rural – Edital 4G,1 Mbps,SATÉLITE,EMEIEF DURVAL SOARES,Municipal,31/08/2015
